loudness,energy,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12
-8.784393310546875,0.2745,0.25399518,0.36647075,0.47098535,0.27138284,0.34781754,0.19681124,0.31089002,0.2568553,0.20759264,0.39853162,0.23415619,0.4180038
-13.526387214660645,0.14007273,0.34604087,0.27026492,0.2439854,0.4997944,0.2916149,0.43101543,0.19867525,0.23982692,0.30387816,0.17679204,0.31717077,0.20677087
-13.709228515625,0.122382745,0.34862542,0.4887605,0.48668733,0.37852255,0.4172803,0.45674947,0.6265185,0.41745877,0.44927266,0.47766316,0.38803294,0.45800337
-13.276937484741211,0.14882523,0.656225,0.5715148,0.52714497,0.5213137,0.46664444,0.43994224,0.42060277,0.45013553,0.45410508,0.4438376,0.43677238,0.49972442
-0.8773427605628967,0.5998031,0.2908229,0.35186994,0.44743165,0.4099439,0.62439746,0.4634567,0.33651963,0.33408183,0.35155833,0.52520764,0.4007082,0.30182937
-11.881505966186523,0.15217322,0.19810183,0.21586612,0.44731343,0.22175914,0.19249666,0.18356302,0.1542576,0.26112244,0.18504575,0.48757643,0.1757814,0.14581507
-10.930477142333984,0.21153766,0.3511256,0.3052015,0.31108513,0.43773603,0.6788249,0.39224768,0.4142078,0.5062443,0.49497366,0.510304,0.37596366,0.42664263
-14.19714069366455,0.13844445,0.30386907,0.37171546,0.5120238,0.3455444,0.47026247,0.33437398,0.3074379,0.43419212,0.4761753,0.7027333,0.37588155,0.38555232
-10.673089027404785,0.23869424,0.3359349,0.56648463,0.88682705,0.7650797,0.43637434,0.33672872,0.26246867,0.25992364,0.21446599,0.2739351,0.22618732,0.24815
-11.565696716308594,0.2570527,0.5174622,0.3212911,0.32601738,0.42045987,0.354401,0.4823357,0.30231506,0.41502154,0.37312838,0.27795818,0.47718304,0.37999544
-11.840921401977539,0.14865257,0.29295963,0.20192045,0.38822934,0.20758578,0.3751566,0.16917567,0.31457153,0.3459199,0.2796557,0.4294996,0.24866863,0.4317105
-11.725418090820312,0.18139406,0.40048343,0.37574396,0.35703737,0.42827258,0.4762333,0.32716745,0.3877363,0.29527143,0.44040036,0.41214967,0.41041687,0.60354096
-10.917216300964355,0.21018483,0.32353482,0.3934747,0.58125025,0.3738214,0.33348873,0.2656503,0.3793471,0.52357453,0.40319648,0.47284713,0.33719784,0.43591914
-7.876831531524658,0.3001617,0.29753262,0.27266386,0.24131641,0.35989013,0.41072613,0.34239197,0.40421602,0.3764638,0.46502322,0.3434389,0.47356328,0.5895077
-17.197521209716797,0.07872084,0.32756355,0.46308675,0.38799638,0.30773526,0.5051748,0.45643383,0.5089741,0.36242342,0.34452194,0.39570227,0.40262648,0.39519978
